World Port Index Number,Region Name,Main Port Name,Latitude,Longitude
53400,Australia -- 53290,Mackay,-21.116667,149.216667
635, ,Faeringehavn,63.68333333,-51.51666667
11530,Dominica -- 11515,Portsmouth,15.566667,-61.466667
30340,Jylland -- 30020,Hadsund,56.716667,10.116667
10880,Haiti -- 10810,Port Au Prince,18.55,-72.35
10080,Cuba North Coast -- 10030,Cabanas,23,-82.966667
11520,Dominica -- 11515,Roseau,15.3,-61.4
10580,Cayman Islands -- 10575,Georgetown,19.3,-81.383333
23736,Norway -- 20620,Slagenstangen,59.32777778,10.51944444
11350,Tortola Island -- 11345,Road Harbor,18.416667,-64.616667
10460,Cuba South Coast -- 10310,Manzanillo,20.35,-77.116667
9987,Bahama Islands -- 9980,South Riding Point,26.616667,-78.216667
11630,Saint Lucia -- 11615,Castries,14.016667,-61
53650,Australia -- 53290,Sydney,-33.866667,151.2
53440,Australia -- 53290,Port Alma,-23.583333,150.85
10660,Jamaica North Coast -- 10590,Ocho Rios,18.416667,-77.116667
10090,Cuba North Coast -- 10030,Mariel,22.983333,-82.75
24000,Sweden -- 23860,Stenungsund,58.07972222,11.8
10540,Cuba South Coast -- 10310,Cienfuegos,22.15,-80.45
10530,Cuba South Coast -- 10310,Casilda,21.75,-79.983333
53610,Australia -- 53290,Newcastle,-32.916667,151.783333
11640,Saint Vincent -- 11637,Kingstown,13.15,-61.233333
11020,Dominican Republic -- 10950,La Romana,18.416667,-68.966667
9990,Bahama Islands -- 9980,Nassau,25.083333,-77.35
10470,Cuba South Coast -- 10310,Guayabal,20.7,-77.616667
40, ,Thorlakshofn,63.85,-21.36666667
230, ,Skagastrond,65.81666667,-20.31666667
340, ,Raufarhofn,66.45,-15.93333333
465, ,Djupivogur,64.66666667,-14.28333333
900, ,Uummannaq,70.66666667,-52.11666667
360, ,Vopnafjordur,65.75,-14.81666667
350, ,Thorshofn,66.2,-15.33333333
400, ,Seydisfjordur,65.26666667,-14
65, ,Grindavik,63.83333333,-22.43333333
315, ,Grenivik,65.95,-18.18333333
540, ,Ammassalik,65.61666667,-37.61666667
453, ,Faskrudsfjordur,64.91666667,-14.01666667
72, ,Helguvik,64.01666667,-22.55
210, ,Hvammstangi,65.4,-20.95
680, ,Soendre Stroemfjord,66.95,-50.95
85, ,Kopavogur,64.11666667,-21.95
580, ,Qaqortoq,60.71666667,-46.03333333
155, ,Patreksfjordur,65.6,-24
270, ,Olafsfjordur,66.06666667,-18.65
125, ,Stykkisholmur,65.08333333,-22.73333333
48030,Egypt Red Sea -- 47950,North Ain Sukhna Port,29.65,32.366667
